配送中心或需求点ID,时间,对接车辆数
0,8:0:0,7
0,8:1:0,6
0,8:2:0,1
0,8:7:0,1
0,8:8:0,2
0,8:14:0,5
0,8:15:0,4
0,8:16:0,1
0,8:46:0,3
0,8:47:0,3
0,8:48:0,5
0,8:49:0,5
0,8:50:0,3
0,8:51:0,1
0,8:54:0,1
0,15:4:0,1
0,15:5:0,3
0,15:6:0,2
0,15:18:0,1
0,15:21:0,1
0,15:57:0,1
0,15:58:0,1
0,15:59:0,2
0,16:1:0,1
0,16:2:0,1
0,16:17:0,1
0,16:18:0,2
0,16:54:0,2
0,16:57:0,1
0,17:2:0,1
0,17:3:0,2
0,17:6:0,1
0,17:22:0,1
0,17:41:0,1
0,17:42:0,2
0,17:43:0,3
0,18:5:0,2
0,18:6:0,1
0,18:30:0,2
0,18:31:0,3
0,18:35:0,1
0,18:48:0,1
0,18:49:0,1
1,8:0:0,25
1,8:1:0,6
1,8:7:0,1
1,8:8:0,1
1,8:9:0,1
1,8:10:0,1
1,8:13:0,1
1,8:28:0,5
1,8:29:0,4
1,8:30:0,1
1,8:40:0,1
1,14:53:0,1
1,14:54:0,2
1,14:55:0,1
1,14:56:0,1
1,14:57:0,1
1,15:0:0,2
1,15:48:0,1
1,15:49:0,9
1,15:50:0,3
1,16:22:0,1
1,16:23:0,1
1,16:38:0,1
1,16:57:0,1
1,16:58:0,2
1,16:59:0,1
1,17:27:0,1
1,17:28:0,4
1,17:29:0,4
1,17:39:0,1
1,17:40:0,5
1,17:41:0,3
1,18:10:0,1
1,18:11:0,1
2,8:35:0,25
2,8:36:0,31
2,8:37:0,31
2,8:38:0,31
2,8:39:0,31
2,8:40:0,31
2,8:41:0,31
2,8:42:0,31
2,8:43:0,30
2,8:44:0,30
2,8:45:0,30
2,8:46:0,29
2,8:47:0,29
2,8:48:0,29
2,8:49:0,28
2,8:50:0,28
2,8:51:0,28
2,8:52:0,28
2,8:53:0,28
2,8:54:0,28
2,8:55:0,28
2,8:56:0,25
2,8:57:0,25
2,8:58:0,25
2,8:59:0,25
2,9:0:0,25
2,9:1:0,25
2,9:2:0,25
2,9:3:0,23
2,9:4:0,23
2,9:5:0,23
2,9:6:0,23
2,9:7:0,24
2,9:8:0,23
2,9:9:0,23
2,9:10:0,23
2,9:11:0,23
2,9:12:0,23
2,9:13:0,23
2,9:14:0,23
2,9:15:0,23
2,9:16:0,23
2,9:17:0,23
2,9:18:0,23
2,9:19:0,22
2,9:20:0,22
2,9:21:0,21
2,9:22:0,21
2,9:23:0,21
2,9:24:0,22
2,9:25:0,22
2,9:26:0,22
2,9:27:0,22
2,9:28:0,22
2,9:29:0,21
2,9:30:0,21
2,9:31:0,21
2,9:32:0,21
2,9:33:0,21
2,9:34:0,20
2,9:35:0,16
2,9:36:0,9
2,9:37:0,13
2,9:38:0,17
2,9:39:0,19
2,9:40:0,20
2,9:41:0,21
2,9:42:0,21
2,9:43:0,21
2,9:44:0,22
2,9:45:0,22
2,9:46:0,22
2,9:47:0,22
2,9:48:0,22
2,9:49:0,22
2,9:50:0,22
2,9:51:0,21
2,9:52:0,21
2,9:53:0,21
2,9:54:0,21
2,9:55:0,21
2,9:56:0,21
2,9:57:0,21
2,9:58:0,21
2,9:59:0,20
2,10:0:0,14
2,10:1:0,4
2,10:2:0,4
2,10:3:0,4
2,10:4:0,3
2,10:5:0,2
2,10:6:0,2
2,10:7:0,2
2,10:8:0,2
2,10:9:0,2
2,10:10:0,2
2,10:11:0,2
2,10:12:0,1
2,10:13:0,1
2,10:14:0,1
2,10:15:0,1
2,10:16:0,1
2,10:17:0,1
2,10:18:0,1
3,9:19:0,1
3,9:20:0,4
3,9:21:0,5
3,9:22:0,5
3,9:23:0,6
3,9:24:0,6
3,9:25:0,7
3,9:26:0,14
3,9:27:0,17
3,9:28:0,17
3,9:29:0,16
3,9:30:0,15
3,9:31:0,15
3,9:32:0,15
3,9:33:0,18
3,9:34:0,20
3,9:35:0,20
3,9:36:0,20
3,9:37:0,20
3,9:38:0,20
3,9:39:0,20
3,9:40:0,18
3,9:41:0,20
3,9:42:0,21
3,9:43:0,22
3,9:44:0,22
3,9:45:0,23
3,9:46:0,23
3,9:47:0,23
3,9:48:0,24
3,9:49:0,24
3,9:50:0,23
3,9:51:0,23
3,9:52:0,24
3,9:53:0,24
3,9:54:0,23
3,9:55:0,21
3,9:56:0,21
3,9:57:0,21
3,9:58:0,21
3,9:59:0,21
3,10:0:0,22
3,10:1:0,22
3,10:2:0,21
3,10:3:0,21
3,10:4:0,21
3,10:5:0,21
3,10:6:0,19
3,10:7:0,13
3,10:8:0,6
3,10:9:0,5
3,10:10:0,4
3,10:11:0,4
3,10:12:0,10
3,10:13:0,19
3,10:14:0,20
3,10:15:0,21
3,10:16:0,21
3,10:17:0,21
3,10:18:0,21
3,10:19:0,22
3,10:20:0,22
3,10:21:0,22
3,10:22:0,22
3,10:23:0,22
3,10:24:0,22
3,10:25:0,22
3,10:26:0,22
3,10:27:0,21
3,10:28:0,21
3,10:29:0,21
3,10:30:0,20
3,10:31:0,20
3,10:32:0,19
3,10:33:0,19
3,10:34:0,19
3,10:35:0,19
3,10:36:0,13
3,10:37:0,10
3,10:38:0,19
3,10:39:0,20
3,10:40:0,20
3,10:41:0,20
3,10:42:0,20
3,10:43:0,20
3,10:44:0,20
3,10:45:0,20
3,10:46:0,20
3,10:47:0,20
3,10:48:0,20
3,10:49:0,20
3,10:50:0,20
3,10:51:0,20
3,10:52:0,19
3,10:53:0,19
3,10:54:0,19
3,10:55:0,18
3,10:56:0,15
3,10:57:0,10
3,10:58:0,10
3,10:59:0,10
3,11:0:0,10
3,11:1:0,9
3,11:2:0,6
3,11:3:0,3
3,11:4:0,3
3,11:5:0,3
3,11:6:0,3
3,11:7:0,2
3,11:8:0,2
3,11:9:0,1
3,11:10:0,1
3,11:11:0,1
3,11:12:0,1
3,11:13:0,1
3,11:14:0,1
3,11:15:0,1
